encoder,case_id,symbology,category,ec_level,encoding,pdf417_columns,status,detail,n_samples,n_trials_valid,validity_rate,median_ms,mean_ms,stddev_ms,min_ms,median_area_modules,median_file_bytes
pystrich,qr-alnum-eclL-svg,qr,alnum,L,,,ok,,100,5,1.0,1.2784,1.2968,0.0824,1.1528,625,7161
pystrich,qr-alnum-eclM,qr,alnum,M,,,ok,,100,5,1.0,1.801,1.741,0.2245,1.4165,625,566
pystrich,qr-alnum-eclM-svg,qr,alnum,M,,,ok,,100,5,1.0,1.2618,1.362,0.1874,1.124,625,7288
pystrich,qr-alnum-eclQ,qr,alnum,Q,,,ok,,100,5,1.0,2.1869,2.1817,0.4133,1.6774,841,679
pystrich,qr-alnum-eclQ-svg,qr,alnum,Q,,,ok,,100,5,1.0,1.5945,1.6624,0.2123,1.3487,841,10194
pystrich,qr-base64_nc-eclM,qr,base64_near_capacity,M,,,ok,,100,5,1.0,59.9756,58.6978,4.0132,52.5703,27225,12011
pystrich,qr-base64_nc-eclM-svg,qr,base64_near_capacity,M,,,ok,,100,5,1.0,53.3341,54.365,4.2855,48.9072,27225,296715
pystrich,qr-bcbp-eclM,qr,bcbp,M,,,ok,,100,5,1.0,2.8027,2.6786,0.7163,1.8054,1369,947
pystrich,qr-bcbp-eclM-svg,qr,bcbp,M,,,ok,,100,5,1.0,2.522,2.4337,0.6941,1.6242,1369,15327
pystrich,qr-json_nc-eclM,qr,json_near_capacity,M,,,ok,,100,5,1.0,54.0996,55.5532,4.0655,50.5091,27225,12056
pystrich,qr-json_nc-eclM-svg,qr,json_near_capacity,M,,,ok,,100,5,1.0,50.1138,51.9988,3.4257,47.7547,27225,300620
pystrich,qr-kanji-eclM,qr,kanji,M,shift_jis,,ok,,100,5,1.0,2.0784,1.9162,0.3174,1.3257,1089,804
pystrich,qr-kanji-eclM-auto,qr,kanji,M,,,ok,,100,5,1.0,2.8496,2.6159,0.5081,1.5425,1681,1105
pystrich,qr-kanji-eclM-auto-svg,qr,kanji,M,,,ok,,100,5,1.0,2.6706,2.4558,0.6036,1.388,1681,18926
pystrich,qr-kanji-eclM-svg,qr,kanji,M,shift_jis,,ok,,100,5,1.0,1.8042,1.6569,0.2983,1.0666,1089,11955
pystrich,qr-latin1-eclM,qr,latin1,M,iso-8859-1,,ok,,100,5,1.0,2.6818,3.037,0.687,2.0952,1369,975
pystrich,qr-latin1-eclM-auto,qr,latin1,M,,,ok,,100,5,1.0,2.5985,2.778,0.5419,2.0514,1369,975
pystrich,qr-latin1-eclM-auto-svg,qr,latin1,M,,,ok,,100,5,1.0,2.4027,2.626,0.6195,1.731,1369,15376
pystrich,qr-latin1-eclM-svg,qr,latin1,M,iso-8859-1,,ok,,100,5,1.0,2.3788,2.5612,0.5921,1.7515,1369,15376
pystrich,qr-latin1_ambiguous-eclM,qr,latin1_ambiguous,M,iso-8859-1,,ok,,100,5,1.0,3.2332,3.0384,0.6566,2.0805,1681,1110
pystrich,qr-latin1_ambiguous-eclM-auto,qr,latin1_ambiguous,M,,,ok,,100,5,1.0,3.0645,2.9661,0.8108,1.9931,1681,1110
pystrich,qr-latin1_ambiguous-eclM-auto-svg,qr,latin1_ambiguous,M,,,ok,,100,5,1.0,2.8865,2.752,0.6948,1.7868,1681,19395
pystrich,qr-latin1_ambiguous-eclM-svg,qr,latin1_ambiguous,M,iso-8859-1,,ok,,100,5,1.0,2.844,2.6888,0.6735,1.7588,1681,19395
pystrich,qr-mixed_modes-eclM,qr,mixed_modes,M,,,ok,,100,5,1.0,3.9919,4.0408,0.7471,2.8626,2025,1234
pystrich,qr-mixed_modes-eclM-svg,qr,mixed_modes,M,,,ok,,100,5,1.0,3.4466,3.208,0.6449,2.3264,2025,21890
pystrich,qr-near_capacity-eclH,qr,near_capacity,H,,,ok,,100,5,1.0,40.7873,44.7341,8.0609,39.4329,27225,12072
pystrich,qr-near_capacity-eclH-svg,qr,near_capacity,H,,,ok,,100,5,1.0,37.8203,39.1576,3.5958,35.3707,27225,299425
pystrich,qr-near_capacity-eclL,qr,near_capacity,L,,,ok,,100,5,1.0,60.6843,62.9547,8.4073,54.1136,27225,11787
pystrich,qr-near_capacity-eclL-svg,qr,near_capacity,L,,,ok,,100,5,1.0,53.7745,55.1328,4.1217,49.8208,27225,295304
pystrich,qr-near_capacity-eclM,qr,near_capacity,M,,,ok,,100,5,1.0,51.9176,55.3206,7.5547,48.685,27225,11860
pystrich,qr-near_capacity-eclM-svg,qr,near_capacity,M,,,ok,,100,5,1.0,48.2308,49.621,3.8834,43.9949,27225,296273
pystrich,qr-near_capacity-eclQ,qr,near_capacity,Q,,,ok,,100,5,1.0,45.0571,48.1933,5.2764,42.7731,27225,11946
pystrich,qr-near_capacity-eclQ-svg,qr,near_capacity,Q,,,ok,,100,5,1.0,40.9119,42.3205,3.3051,38.3164,27225,296363
pystrich,qr-numeric_long-eclM,qr,numeric_long,M,,,ok,,100,5,1.0,2.9059,3.0579,0.53,2.598,1089,807
pystrich,qr-numeric_long-eclM-svg,qr,numeric_long,M,,,ok,,100,5,1.0,2.3669,2.3471,0.2427,1.8758,1089,12249
pystrich,qr-numeric_short-eclM,qr,numeric_short,M,,,ok,,100,5,1.0,1.1373,1.1603,0.093,1.021,441,405
pystrich,qr-numeric_short-eclM-svg,qr,numeric_short,M,,,ok,,100,5,1.0,0.848,0.8524,0.0556,0.754,441,5191
pystrich,qr-text_para-eclM,qr,text_para,M,,,ok,,100,5,1.0,13.8566,13.1102,3.4126,7.9482,5929,3226
pystrich,qr-text_para-eclM-svg,qr,text_para,M,,,ok,,100,5,1.0,10.3212,9.8302,2.7484,5.5926,5929,64961
pystrich,qr-url-eclM,qr,url,M,,,ok,,100,5,1.0,2.6445,2.6687,0.1216,2.4877,1369,945
pystrich,qr-url-eclM-svg,qr,url,M,,,ok,,100,5,1.0,2.3102,2.3558,0.1776,2.0999,1369,15377
pystrich,qr-url_nc-eclM,qr,url_near_capacity,M,,,ok,,100,5,1.0,57.1001,58.6174,4.4224,53.1531,27225,11969
pystrich,qr-url_nc-eclM-svg,qr,url_near_capacity,M,,,ok,,100,5,1.0,54.0246,55.3947,4.2642,50.0359,27225,300293
pystrich,qr-utf8-eclM,qr,utf8,M,utf-8,,ok,,100,5,1.0,2.036,1.9912,0.1749,1.6128,1089,817
pystrich,qr-utf8-eclM-auto,qr,utf8,M,,,ok,,100,5,1.0,2.0124,1.9656,0.1674,1.5514,1089,817
pystrich,qr-utf8-eclM-auto-svg,qr,utf8,M,,,ok,,100,5,1.0,1.8181,1.7824,0.1896,1.3746,1089,12163
pystrich,qr-utf8-eclM-svg,qr,utf8,M,utf-8,,ok,,100,5,1.0,1.7871,1.7617,0.1925,1.3499,1089,12163
pystrich,qr-xml_nc-eclM,qr,xml_near_capacity,M,,,ok,,100,5,1.0,52.8013,54.4496,3.4941,50.1335,27225,11994
pystrich,qr-xml_nc-eclM-svg,qr,xml_near_capacity,M,,,ok,,100,5,1.0,50.2257,51.9273,3.9578,47.0082,27225,299902
pystrich-git,qr-alnum-eclH,qr,alnum,H,,,ok,,100,5,1.0,2.2069,2.2637,0.1618,2.0389,1089,820
pystrich-git,qr-alnum-eclH-svg,qr,alnum,H,,,ok,,100,5,1.0,1.8282,1.7708,0.1791,1.3387,1089,12162
pystrich-git,qr-alnum-eclL,qr,alnum,L,,,ok,,100,5,1.0,1.5039,1.5698,0.1728,1.3834,625,553
pystrich-git,qr-alnum-eclL-svg,qr,alnum,L,,,ok,,100,5,1.0,1.2792,1.2855,0.0661,1.1427,625,7161
pystrich-git,qr-alnum-eclM,qr,alnum,M,,,ok,,100,5,1.0,1.7738,1.7884,0.3568,1.381,625,566
pystrich-git,qr-alnum-eclM-svg,qr,alnum,M,,,ok,,100,5,1.0,1.274,1.3663,0.1797,1.0951,625,7288
pystrich-git,qr-alnum-eclQ,qr,alnum,Q,,,ok,,100,5,1.0,2.1581,2.267,0.6936,1.6608,841,679
pystrich-git,qr-alnum-eclQ-svg,qr,alnum,Q,,,ok,,100,5,1.0,1.5824,1.6603,0.1832,1.3671,841,10194
pystrich-git,qr-base64_nc-eclM,qr,base64_near_capacity,M,,,ok,,100,5,1.0,59.7129,59.1436,4.5319,52.2452,27225,12011
pystrich-git,qr-base64_nc-eclM-svg,qr,base64_near_capacity,M,,,ok,,100,5,1.0,52.8138,54.2387,4.64,47.2434,27225,296715
pystrich-git,qr-bcbp-eclM,qr,bcbp,M,,,ok,,100,5,1.0,2.7547,2.663,0.7415,1.7908,1369,947
pystrich-git,qr-bcbp-eclM-svg,qr,bcbp,M,,,ok,,100,5,1.0,2.5444,2.3892,0.5833,1.5174,1369,15327
pystrich-git,qr-json_nc-eclM,qr,json_near_capacity,M,,,ok,,100,5,1.0,54.1695,55.5909,3.7531,50.6198,27225,12056
pystrich-git,qr-json_nc-eclM-svg,qr,json_near_capacity,M,,,ok,,100,5,1.0,51.4698,52.7079,4.2279,46.3609,27225,300620
pystrich-git,qr-kanji-eclM,qr,kanji,M,shift_jis,,ok,,100,5,1.0,2.0241,1.8876,0.312,1.2354,1089,804
pystrich-git,qr-kanji-eclM-auto,qr,kanji,M,,,ok,,100,5,1.0,2.8948,2.7251,0.7411,1.5633,1681,1105
pystrich-git,qr-kanji-eclM-auto-svg,qr,kanji,M,,,ok,,100,5,1.0,2.653,2.406,0.5133,1.2975,1681,18926
pystrich-git,qr-kanji-eclM-svg,qr,kanji,M,shift_jis,,ok,,100,5,1.0,1.8217,1.7826,0.6095,1.0993,1089,11955
pystrich-git,qr-latin1-eclM,qr,latin1,M,iso-8859-1,,ok,,100,5,1.0,2.6002,2.9279,0.6626,2.0079,1369,975
pystrich-git,qr-latin1-eclM-auto,qr,latin1,M,,,ok,,100,5,1.0,2.6267,2.827,0.7194,2.0215,1369,975
pystrich-git,qr-latin1-eclM-auto-svg,qr,latin1,M,,,ok,,100,5,1.0,2.3961,2.5506,0.4724,1.7244,1369,15376
pystrich-git,qr-latin1-eclM-svg,qr,latin1,M,iso-8859-1,,ok,,100,5,1.0,2.3344,2.4731,0.4714,1.7412,1369,15376
pystrich-git,qr-latin1_ambiguous-eclM,qr,latin1_ambiguous,M,iso-8859-1,,ok,,100,5,1.0,3.1779,3.031,0.7938,2.0007,1681,1110
pystrich-git,qr-latin1_ambiguous-eclM-auto,qr,latin1_ambiguous,M,,,ok,,100,5,1.0,3.087,3.0423,0.9602,2.016,1681,1110
pystrich-git,qr-latin1_ambiguous-eclM-auto-svg,qr,latin1_ambiguous,M,,,ok,,100,5,1.0,2.9006,2.7156,0.6347,1.7232,1681,19395
pystrich-git,qr-latin1_ambiguous-eclM-svg,qr,latin1_ambiguous,M,iso-8859-1,,ok,,100,5,1.0,2.7936,2.6372,0.62,1.7999,1681,19395
pystrich-git,qr-mixed_modes-eclM,qr,mixed_modes,M,,,ok,,100,5,1.0,3.9357,3.9511,0.6739,2.8325,2025,1234
pystrich-git,qr-mixed_modes-eclM-svg,qr,mixed_modes,M,,,ok,,100,5,1.0,3.4531,3.2611,0.8262,2.3564,2025,21890
pystrich-git,qr-near_capacity-eclH,qr,near_capacity,H,,,ok,,100,5,1.0,40.9001,44.8027,7.64,39.432,27225,12072
pystrich-git,qr-near_capacity-eclH-svg,qr,near_capacity,H,,,ok,,100,5,1.0,37.7088,39.265,3.4471,35.1707,27225,299425
pystrich-git,qr-near_capacity-eclL,qr,near_capacity,L,,,ok,,100,5,1.0,60.7853,63.244,8.5689,54.0443,27225,11787
pystrich-git,qr-near_capacity-eclL-svg,qr,near_capacity,L,,,ok,,100,5,1.0,53.8232,55.0771,3.8672,49.4009,27225,295304
pystrich-git,qr-near_capacity-eclM,qr,near_capacity,M,,,ok,,100,5,1.0,51.255,55.8573,8.2755,48.5595,27225,11860
pystrich-git,qr-near_capacity-eclM-svg,qr,near_capacity,M,,,ok,,100,5,1.0,47.4455,49.5064,4.8691,43.9375,27225,296273
pystrich-git,qr-near_capacity-eclQ,qr,near_capacity,Q,,,ok,,100,5,1.0,44.7416,48.4711,5.6938,42.7648,27225,11946
pystrich-git,qr-near_capacity-eclQ-svg,qr,near_capacity,Q,,,ok,,100,5,1.0,40.5663,41.8935,3.2152,38.1703,27225,296363
pystrich-git,qr-numeric_long-eclM,qr,numeric_long,M,,,ok,,100,5,1.0,2.9022,3.0569,0.4431,2.5626,1089,807
pystrich-git,qr-numeric_long-eclM-svg,qr,numeric_long,M,,,ok,,100,5,1.0,2.3734,2.3369,0.2054,1.8271,1089,12249
pystrich-git,qr-numeric_short-eclM,qr,numeric_short,M,,,ok,,100,5,1.0,1.1431,1.2082,0.2407,1.0199,441,405
pystrich-git,qr-numeric_short-eclM-svg,qr,numeric_short,M,,,ok,,100,5,1.0,0.8708,0.881,0.1018,0.7592,441,5191
pystrich-git,qr-text_para-eclM,qr,text_para,M,,,ok,,100,5,1.0,13.9053,13.1234,3.6041,7.9243,5929,3226
pystrich-git,qr-text_para-eclM-svg,qr,text_para,M,,,ok,,100,5,1.0,10.2724,9.7383,2.7118,5.5931,5929,64961
pystrich-git,qr-url-eclM,qr,url,M,,,ok,,100,5,1.0,2.5985,2.6631,0.3741,2.4653,1369,945
pystrich-git,qr-url-eclM-svg,qr,url,M,,,ok,,100,5,1.0,2.3296,2.3859,0.3984,2.094,1369,15377
pystrich-git,qr-url_nc-eclM,qr,url_near_capacity,M,,,ok,,100,5,1.0,58.696,58.8948,4.382,53.2092,27225,11969
pystrich-git,qr-url_nc-eclM-svg,qr,url_near_capacity,M,,,ok,,100,5,1.0,54.5637,55.6214,4.5481,49.3789,27225,300293
pystrich-git,qr-utf8-eclM,qr,utf8,M,utf-8,,ok,,100,5,1.0,2.0347,2.0607,0.4453,1.5625,1089,817
pystrich-git,qr-utf8-eclM-auto,qr,utf8,M,,,ok,,100,5,1.0,2.009,1.9628,0.1716,1.5562,1089,817
pystrich-git,qr-utf8-eclM-auto-svg,qr,utf8,M,,,ok,,100,5,1.0,1.8307,1.7838,0.1746,1.3,1089,12163
pystrich-git,qr-utf8-eclM-svg,qr,utf8,M,utf-8,,ok,,100,5,1.0,1.7852,1.7695,0.2782,1.3078,1089,12163
pystrich-git,qr-xml_nc-eclM,qr,xml_near_capacity,M,,,ok,,100,5,1.0,52.8142,55.0042,4.2938,50.0948,27225,11994
pystrich-git,qr-xml_nc-eclM-svg,qr,xml_near_capacity,M,,,ok,,100,5,1.0,51.3587,52.5083,4.7005,45.4902,27225,299902
qrcode,qr-alnum-eclH,qr,alnum,H,,,ok,,100,5,1.0,5.6186,5.5672,0.9405,4.251,1089,404
qrcode,qr-alnum-eclH-svg,qr,alnum,H,,,ok,,100,5,1.0,7.9712,7.6553,0.8016,5.6336,1089,11564
qrcode,qr-alnum-eclL,qr,alnum,L,,,ok,,100,5,1.0,3.3589,3.3668,0.0849,3.2126,625,291
qrcode,qr-alnum-eclL-svg,qr,alnum,L,,,ok,,100,5,1.0,4.7656,4.8742,0.6508,4.3066,625,6761
qrcode,qr-alnum-eclM,qr,alnum,M,,,ok,,100,5,1.0,3.374,3.8995,0.8477,3.136,625,300
qrcode,qr-alnum-eclM-svg,qr,alnum,M,,,ok,,100,5,1.0,4.8236,5.3734,0.8948,4.174,625,7105
qrcode,qr-alnum-eclQ,qr,alnum,Q,,,ok,,100,5,1.0,4.5879,5.0827,0.7276,4.2724,841,351
qrcode,qr-alnum-eclQ-svg,qr,alnum,Q,,,ok,,100,5,1.0,6.5227,7.1692,1.0617,5.8739,841,9511
qrcode,qr-base64_nc-eclM,qr,base64_near_capacity,M,,,ok,,100,5,1.0,174.1874,175.1458,5.3703,164.9223,27225,5338
qrcode,qr-base64_nc-eclM-svg,qr,base64_near_capacity,M,,,ok,,100,5,1.0,228.5444,229.077,7.5874,213.1435,27225,324056
qrcode,qr-bcbp-eclM,qr,bcbp,M,,,ok,,100,5,1.0,7.8199,7.2084,2.0521,4.4927,1369,449
qrcode,qr-bcbp-eclM-svg,qr,bcbp,M,,,ok,,100,5,1.0,10.3387,9.5004,2.6612,6.2122,1369,14821
qrcode,qr-json_nc-eclM,qr,json_near_capacity,M,,,ok,,100,5,1.0,173.3833,174.0854,5.2107,165.3375,27225,5348
qrcode,qr-json_nc-eclM-svg,qr,json_near_capacity,M,,,ok,,100,5,1.0,223.5827,224.8629,5.7835,213.2867,27225,316864
qrcode,qr-kanji-eclM,qr,kanji,M,shift_jis,,unsupported,no charset/ECI support for 'shift_jis' payloads,0,0,,,,,,,
qrcode,qr-kanji-eclM-auto,qr,kanji,M,,,ok,,100,5,1.0,8.1368,8.2323,2.036,4.5997,1369,445
qrcode,qr-kanji-eclM-auto-svg,qr,kanji,M,,,ok,,100,5,1.0,10.6456,10.6938,2.3545,6.0861,1369,15266
qrcode,qr-kanji-eclM-svg,qr,kanji,M,shift_jis,,unsupported,no charset/ECI support for 'shift_jis' payloads,0,0,,,,,,,
qrcode,qr-latin1-eclM,qr,latin1,M,iso-8859-1,,unsupported,no charset/ECI support for 'iso-8859-1' payloads,0,0,,,,,,,
qrcode,qr-latin1-eclM-auto,qr,latin1,M,,,ok,,100,5,1.0,8.1907,9.8954,2.4708,7.3469,1369,465
qrcode,qr-latin1-eclM-auto-svg,qr,latin1,M,,,ok,,100,5,1.0,11.1496,13.221,3.2389,9.7412,1369,15148
qrcode,qr-latin1-eclM-svg,qr,latin1,M,iso-8859-1,,unsupported,no charset/ECI support for 'iso-8859-1' payloads,0,0,,,,,,,
qrcode,qr-latin1_ambiguous-eclM,qr,latin1_ambiguous,M,iso-8859-1,,unsupported,no charset/ECI support for 'iso-8859-1' payloads,0,0,,,,,,,
qrcode,qr-latin1_ambiguous-eclM-auto,qr,latin1_ambiguous,M,,,ok,,100,5,1.0,11.3791,10.7763,3.4226,5.6904,2025,582
qrcode,qr-latin1_ambiguous-eclM-auto-svg,qr,latin1_ambiguous,M,,,ok,,100,5,1.0,15.2621,14.345,4.3478,7.8928,2025,22165
qrcode,qr-latin1_ambiguous-eclM-svg,qr,latin1_ambiguous,M,iso-8859-1,,unsupported,no charset/ECI support for 'iso-8859-1' payloads,0,0,,,,,,,
qrcode,qr-mixed_modes-eclM,qr,mixed_modes,M,,,ok,,100,5,1.0,13.3171,12.0009,4.1362,7.459,2401,650
qrcode,qr-mixed_modes-eclM-svg,qr,mixed_modes,M,,,ok,,100,5,1.0,18.472,15.7258,3.9349,10.3067,2401,27082
qrcode,qr-near_capacity-eclH,qr,near_capacity,H,,,ok,,100,5,1.0,158.4059,158.9191,4.6249,150.4109,27225,5354
qrcode,qr-near_capacity-eclH-svg,qr,near_capacity,H,,,ok,,100,5,1.0,211.0094,212.0111,6.0926,199.8811,27225,319006
qrcode,qr-near_capacity-eclL,qr,near_capacity,L,,,ok,,100,5,1.0,188.5201,190.2172,6.3825,183.4642,27225,5358
qrcode,qr-near_capacity-eclL-svg,qr,near_capacity,L,,,ok,,100,5,1.0,247.8823,248.3477,6.463,231.9455,27225,318296
qrcode,qr-near_capacity-eclM,qr,near_capacity,M,,,ok,,100,5,1.0,167.3951,169.7397,7.1855,162.6688,27225,5337
qrcode,qr-near_capacity-eclM-svg,qr,near_capacity,M,,,ok,,100,5,1.0,225.0484,228.9448,13.9771,212.3224,27225,318155
qrcode,qr-near_capacity-eclQ,qr,near_capacity,Q,,,ok,,100,5,1.0,162.7397,163.5395,4.8339,154.3526,27225,5342
qrcode,qr-near_capacity-eclQ-svg,qr,near_capacity,Q,,,ok,,100,5,1.0,217.8533,220.7186,14.2548,205.6625,27225,321517
qrcode,qr-numeric_long-eclM,qr,numeric_long,M,,,ok,,100,5,1.0,5.8582,5.6975,0.5516,4.4856,1089,402
qrcode,qr-numeric_long-eclM-svg,qr,numeric_long,M,,,ok,,100,5,1.0,8.2336,8.0578,1.1231,5.8677,1089,11501
qrcode,qr-numeric_short-eclM,qr,numeric_short,M,,,ok,,100,5,1.0,2.2809,2.3806,0.5492,2.1605,441,241
qrcode,qr-numeric_short-eclM-svg,qr,numeric_short,M,,,ok,,100,5,1.0,3.218,3.2705,0.5102,2.8742,441,4485
qrcode,qr-text_para-eclM,qr,text_para,M,,,ok,,100,5,1.0,34.6053,33.3945,9.8905,18.792,5929,1335
qrcode,qr-text_para-eclM-svg,qr,text_para,M,,,ok,,100,5,1.0,47.5805,46.051,14.026,24.5123,5929,67672
qrcode,qr-url-eclM,qr,url,M,,,ok,,100,5,1.0,7.6949,7.966,1.1734,7.3451,1369,459
qrcode,qr-url-eclM-svg,qr,url,M,,,ok,,100,5,1.0,10.6623,10.8949,1.2707,10.2881,1369,15093
qrcode,qr-url_nc-eclM,qr,url_near_capacity,M,,,ok,,100,5,1.0,172.5636,173.7107,5.0877,163.9131,27225,5368
